title,year,genre,movie_description,critical_consensus,review
It,2017,"['Mystery, Thriller & Horror', 'Mystery, Thriller & Horror']","Seven young outcasts in Derry, Maine, are about to face their worst nightmare -- an ancient, shape-shifting evil that emerges from the sewer every 27 years to prey on the town's children. Banding together over the course of one horrifying summer, the friends must overcome their own personal fears to battle the murderous, bloodthirsty clown known as Pennywise.","Well-acted and fiendishly frightening with an emotionally affecting story at its core, It amplifies the horror in Stephen King's classic story without losing touch with its heart.","['But while It is a good film that is skilled at recreating its milieu, it also made me a little sad. Boys get all the good nostalgia pieces.', ""Doesn't cut very deep and isn't very scary."", 'Even those unfamiliar with the book might wonder why this kids-only manifestation of IT feels strangely toothless on the horror front.', ""Horror's power here does not come from monstrous imagery, but from the encounter with evil... Muschietti seems to miss that, going for teeth over terror from the get-go."", ""I can't say the first half of It scared me senseless, but it built up enough goodwill toward its young heroes to make me curious about what they'll be like in their grown-up incarnations."", ""I liked It a lot. Its aftermath is so busy in my mind, that I'm tempted to award it four stars just for that. But based on what is on the screen I'll stick with 3 1/2."", ""I'm writing this not so much as a critic but as an ordinary moviegoer, experiencing Proustian transport via an old-fashioned scary movie executed by a team of filmmakers and actors at the top of their game."", ""In the end, Muschietti's film is a big, fat, gorgeously produced love letter to King's epic novel."", 'It is [a] study in trauma to match the best of them.', 'It sticks with you to haunt and influence your nightmares!', ""It's such a great performance that you wish Muschietti had eased up on the CGI and just let Skarsgård do the talking."", ""It's well-executed, marvelously acted, and has a few scary sequences. It also has just as many that are not, as well as a wobbly command of tone and trouble sustaining its own momentum."", ""The film depends - and succeeds - entirely on the strength of their performances, and for two hours that speed by all too quickly, it's not too much of a stretch to feel like we're on summer vacation with them."", 'The movie is not terrifying but blandly edifying; its scares, foreshadowed as if by telegram, are delivered less effectively than its life lessons.', 'The serious dramatic themes ring hollow, however, leaving only the paperback boogety boogety to justify the Oscar-bait running time.', 'This It feels a little too much like pastiche, with its window on to an 80s informed by King as much as any other creator but a little further along the path to cartoonishness than the novel or the TV miniseries.', ""This new It has more on its mind, and gives more body and voice to King's ideas of childhood anxieties and the corrosive power of fear."", ""What we're left with is a solid but relatively conventional horror movie, above average but overlong."", ""While it may not be as frightening as some hardened horror fans desire, the archetypal terrors and fundamental friendships of King's source are slickly transferred to the screen with a ghoulish enthusiasm that proves hard to resist."", ""You'll scream bloody murder!""]"
The Sixth Sense,1999,"['Mystery, Thriller & Horror']","Young Cole Sear (Haley Joel Osment) is haunted by a dark secret: he is visited by ghosts. Cole is frightened by visitations from those with unresolved problems who appear from the shadows. He is too afraid to tell anyone about his anguish, except child psychologist Dr. Malcolm Crowe (Bruce Willis). As Dr. Crowe tries to uncover the truth about Cole's supernatural abilities, the consequences for client and therapist are a jolt that awakens them both to something unexplainable.","M Night Shayamalan's The Sixth Sense is a twisty ghost story with all the style of a classical Hollywood picture, but all the chills of a modern horror flick.","['A delicate, emotionally attentive, but very scary ghost story.', 'A poignant study of the searing pain caused by loss, this all-too-human horror film provokes tears as well as fears.', 'An effectively understated and moodily engrossing ghost film with a surprisingly satisfying jolt at the end.', 'An intense, haunting, often beautifully crafted character study and meditation on the nature of death and life after death.', 'At root, his films are patient vindications of crazy faiths, of ghosts and comic book heroes. Loneliness is his theme, and when blessed with courageous performers, as in The Sixth Sense, he can take us just about anywhere.', ""Billed as a 'chilling, psychological thriller,' this movie is actually none of those things."", 'Constantly on the brink of explanation, The Sixth Sense in fact derives most of its fascination from explaining next to nothing.', 'Dr Crowe gradually comes to believe that little Cole can indeed commune with the unquiet souls, who are reaching out to him for help. And, yes, the scenes where Cole does so can be very creepy indeed.', 'Great, but sometimes scarier than R-rated horror.', ""I was not only surprised by the film's final twist, I wasn't even looking for one. I just thought I was watching a bad movie. The end doesn't quite redeem it, but it makes you think about what you've seen. That's a saving grace of some sort."", 'Like Kieslowski and others, Shyamalan knows that what makes for lousy metaphysics can make for powerful metaphor, and in the end he creates a deeply, surprisingly affecting film out of a little bit of smoke and brimstone.', ""M. Night Shyamalan neutralizes Willis's star presence with impressive plotting that's a fine excuse for the powerful atmosphere."", 'Much more than a one-trick puzzle movie… the logic holds emotionally and narratively, and Shyamalan brings satisfying closure to all his characters and their sorrows.', ""Osment's pinched, old-young face suggests an ancient's insight without an ancient's defenses -- a sensitivity so exquisitely morbid that you worry more for his emotional than physical well-being."", 'Shyamalan\'s script is a clever construct, but also contains a great deal of sensitivity to the plight of the ""different"" child.', 'So transparent is Osment as an actor, and so rare, that the pain on his face stabs you in the heart.', ""The Sixth Sense is the kind of flawed movie that's worth sticking with."", ""The Sixth Sense works best when it works its mournful magic alone, without fanfare, using only the flickering fear in Cole's gaze as it meets the compassion in Crowe's."", 'Willis turns in a measured and understated performance.', ""You leave slightly asquirm. You know it will linger. It becomes a clammy, chilly movie building toward a revelation that you cannot predict. As I say: I cannot tell you. You'd hate me if I did. I can only say, don't look now, but look sometime.""]"
Kong: Skull Island,2017,"['Action', 'Fantasy', 'Adventure', 'Sci-Fi']","Scientists, soldiers and adventurers unite to explore a mythical, uncharted island in the Pacific Ocean. Cut off from everything they know, they venture into the domain of the mighty Kong, igniting the ultimate battle between man and nature. As their mission of discovery soon becomes one of survival, they must fight to escape from a primal world where humanity does not belong.","Offering exhilarating eye candy, solid acting, and a fast-paced story, Kong: Skull Island earns its spot in the movie monster's mythos without ever matching up to the classic original.","['As ludicrous and as unfocused as it all might be, Kong: Skull Island kept me amused for practically every second of its two-hour running time.', 'Creedence Clearwater Revival thrums on the soundtrack - has any \'70s movie managed to avoid it? - but when the giant spiders start stomping, Vogt-Roberts earns the right to blast ""Run Through the Jungle.""', 'Enjoyable enough, if a little overblown.', ""I've got no quarrel with a good, goofy monster movie - I'm the guy who liked 'The Great Wall.' But that film at least felt bound by a singular vision, by a director and his personality. 'Kong: Skull Island' is spare parts, held together with Scotch tape."", 'It is the platonic ideal of big, smart-dumb B-movie filmmaking - and, like Kong himself, it must be seen to be believed.', ""It's fun to watch the [monsters] in action, but on the human side, the film is clumsily written, over-cast and underacted, with only frustrated soldier Samuel L. Jackson striking the right tone of crazy amid the chaos."", ""It's the inclusion of historical references, and literary ones, that make this film engaging, despite its faults."", ""Kong: Skull Island is just good enough-the sharp allusions, the moments of wit and warmth supplied by Reilly's long-abandoned airman-to make one wish it were better."", ""Kong: Skull Island isn't a B-movie\u200a-\u200abut with its intentionally bad writing and jarring lack of cohesion, it lamely pretends to be one."", 'Look, if you want to see King Kong duking it out with creatures that are literally called ""Skullcrawlers,"" or locked in battle with a giant octopus...this film is your huckleberry.', 'Skull Island is packed with stunning, innovative effects work. But that effects work is also a form of consistently excellent acting, one that contrasts with the generally lackluster human characters Kong is surrounded by.', 'The CGI Kong is cool.', 'The action and special effects are mostly first-rate and Vogt-Roberts maintains a vaguely satiric tone that sidesteps schlockiness.', ""The film doesn't try to compare with the depth and resonance of any given King Kong, because it lacks the tragic last stand."", 'The humans, meanwhile, are largely left to stare in awe.', ""There's enough material out there to fuel a string of reboots, but the swing toward diminishing returns has already begun."", ""There's life in the old ape yet, but he sinks like the Titanic."", ""Underneath all the giant monster blood and guts, there's little substance in Kong: Skull Island. The slimy viscera, despite the filmmakers' best intentions, stands alone and without impact."", ""What's fatal to this movie is that it lacks visionary gusto."", ""You know what they say: go big or go home, and Kong should've gone all out with the thrills in order to, at the very least, make up for the alarming lack of character development or something resembling a decent script.""]"
World War Z,2013,"['Action', 'Mystery, Thriller & Horror', 'Adventure']","When former U.N. investigator Gerry Lane (Brad Pitt) and his family get stuck in urban gridlock, he senses that it's no ordinary traffic jam. His suspicions are confirmed when, suddenly, the city erupts into chaos. A lethal virus, spread through a single bite, is turning healthy people into something vicious, unthinking and feral. As the pandemic threatens to consume humanity, Gerry leads a worldwide search to find the source of the infection and, with luck, a way to halt its spread.","It's uneven and diverges from the source book, but World War Z still brings smart, fast-moving thrills and a solid performance from Brad Pitt to the zombie genre.","['A raggedy assortment of body parts; expensively assembled, but lacking a sustaining pulse.', 'As both thrilling spectacle and escapist summer entertainment, World War Z is enormously effective, with Brad Pitt at the center hopscotching the globe in search of the origin of a zombie apocalypse.', ""As compelling as Pitt is at reflecting the world's pain through Lane's eyes, the movie treats him too often as if he truly is the only one with loved ones to lose or a world to save."", 'Despite some conventional passages and a soft ending, Forster and Brad Pitt, who is a producer of the film as well as its star, pulled the picture together. They also managed to reawaken in a large-scale movie the experience of shock.', ""Director Marc Forster can't do much with the stale human story, in which Pitt leaves his frightened wife and daughters on an aircraft carrier to await his return."", 'If you need proof that sometimes more can be less, here you go.', ""It's actually quite remarkable this movie turned out even remotely good, considering the horrendous production reports and the reshooting of the entire last act."", ""It's not clever, but it is big."", 'Pitt conducts himself manfully throughout the proceedings -- he is never less than believable while facing off against this pandemic -- but if I never see another zombie in the movies, I will not feel deprived.', ""Scrape off all that spectacle and it's pretty non-original stuff."", 'Sounds unlikely, but Brad Pitt + Zombies = Dull in this self-defeating, formulaic action film.', 'That it never quite coheres is the point.', ""The film doesn't hold together in any rational way, but it still has a lingering emotional power."", 'The movie fares best in its quiet moments, between Pitt and wife Mirelle Enos, or in a climax set in the antiseptic maze of a Cardiff science lab.', ""When you are comparing a sequence to the Timothy Olyphant vehicle 'The Crazies' and it is coming up equal. . ."", 'While the 3D effect helped increase the intensity of the film, I can only hope a sequel will fill in some of the story that is dangling in some areas.', 'World War Z hits the blockbuster equivalent of a delicate balance: gargantuan spectacle with a human touch.', ""World War Z opens with an undeniable bang. But if this is the way the world ends, we're going out with a whimper."", 'Z has guts and energy. It starts its mayhem early and it never lets up.', '[A] lousy, ugly-looking, intensely illogical movie.']"
The Meg,2018,"['Action', 'Mystery, Thriller & Horror', 'Adventure', 'Sci-Fi']","Previously thought to be extinct, a massive creature attacks a deep-sea submersible, leaving it disabled and trapping the crew at the bottom of the Pacific. With time running out, a visionary oceanographer recruits rescue diver Jonas Taylor to save the crew and the sea itself from an unimaginable threat -- a 75-foot-long prehistoric shark known as the Megalodon.","The Meg sets audiences up for a good old-fashioned B-movie creature feature, but lacks the genre thrills -- or the cheesy bite -- to make it worth diving in.","['...exactly what we paid for.', 'Asks little more of you than to strap in, put away your phone and enjoy watching a freakishly huge prehistoric eating machine terrorize some scientists before it turns its appetite to a beach full of frolickers on floaties.', 'Director Jon Turteltaub (National Treasure) strikes an agreeable tone, avoiding both unnecessary heaviness and self-aware camp.', 'Everything in The Meg looks fake, from the New Zealand-as-coastal-China backdrop to the massive underwater research center to the actors themselves, none of whom have been costumed or photographed with any sharpness.', ""I wanted this movie to be wackier, crazier, and over the top, the problem is that it's PG13."", ""If there's any sense of menace in The Meg, it lies in the prospect that many more such films may be on the way. All that said, I hope there are bigger opportunities in store for whoever edited the trailer."", ""It would've benefitted by being more dumb."", ""It's so bad that it's good, remember? It's bad, but it's funny! You're laughing! Right? The truth, unfortunately, is that the novelty of Statham's self-mocking performance and deadpan antics fades away... It is so bad that it's bad."", 'Maybe director John Turteltaub thought the barrage of pathos and yuks would distract from the fact that his star is a very big fish that is not very bright. Still: cool shark, bro.', ""People are going to see this movie to watch the actor essentially punch a gigantic prehistoric shark in the face and on that front I'm hard-pressed to claim I was ever disappointed."", 'The Meg is oddly charming, more pulp than cheese, like the sci-fi pumped out in the 1950s.', ""The Meg is one of the summer's most fun, most mindless blockbusters, a shark vs. human movie that doesn't stand up to close scrutiny but is enjoyably dumb."", 'The biggest problem, however, is the Meg itself. Director Jon Turteltaub sees to have entirely misinterpreted the mechanics of the creature feature.', 'The film delivers on that silly-stupid-summer-fun promise, while also exceeding expectations in terms of action and set-pieces', 'The makers of The Meg may have gone to school on Spielberg, but the big-budget deep-sea thriller is nothing but bloodless summer filler.', 'The one genuine shock is that it takes Statham as long as 44 minutes to remove his shirt and flash his pecs.', ""There's no way I can possibly love it entirely but I just think its ridiculously bad, but enjoyable at the same time."", ""There's some corniness that's apart of this film, there are some cheesy lines, but Statham sells it all."", 'To call the film ""derivative"" isn\'t pejorative; it\'s kind of the point.', 'Ultimately, the film can play fast and loose with the laws of deep-water biology all it wants and still be carried by the jaunty charm of its lead actor.']"
It Chapter Two,2019,"['Mystery, Thriller & Horror', 'Mystery, Thriller & Horror']","Defeated by members of the Losers' Club, the evil clown Pennywise returns 27 years later to terrorize the town of Derry, Maine, once again. Now adults, the childhood friends have long since gone their separate ways. But when people start disappearing, Mike Hanlon calls the others home for one final stand. Damaged by scars from the past, the united Losers must conquer their deepest fears to destroy the shape-shifting Pennywise -- now more powerful than ever.","It: Chapter Two proves bigger doesn't always mean scarier for horror sequels, but a fine cast and faithful approach to the source material keep this follow-up afloat.","['""It"" never decides which fears to take at face value and which exist only in the subconscious, and winds up confused as a result.', 'A peculiar mix of the crowd-pleasing and the patience-testing, veering wildly between the entertaining and the frustrating, built round a story that ventures inexorably underground without ever getting to the heart of what lies beneath.', 'Chapter Two goes deeper than its predecessor, and yet never loses a feeling of shallowness.', 'It Chapter Two can be a sprawling, unwieldy mess -- overlong, overstuffed and full of frustrating detours -- but its casting is so spot-on ... the film keeps you hooked.', ""It's an appreciably less-engaging film in every way, suffering from lurching storytelling, wild vacillations in tone (even within scenes), and a strong cast that never fully gels as a group."", ""It's obvious that the filmmakers failed to fully reckon with what they've put on the screen, and the results are grim."", ""It's very uneven."", ""Not unlike the town in which it's set, Muschietti's It only sees what it wants to."", 'Overall, ""It Chapter Two"" is a fitting companion piece to the first film. There are flaws, to be sure, but nothing you wouldn\'t expect going in.', 'The film argues we\'re stronger and better when we\'re home, building communities that can oppress the oppressors and build up so-called ""losers.""', 'The first It brought a robust blockbuster maximalism to the horror genre, and the sequel, like many blockbuster franchises, starts to list from all the baggage.', ""The new chapter doesn't bring much fresh psychological shading to this process. Instead, the film bombards us with plot and monsters that pile up like toys in the attic."", 'The oddest part of Chapter Two is that, despite its length, it fails to earn the ""epic"" status it so wishes to earn.', 'The result is a film with all the unsettling power and visual elan of the kiddy-friendly Goosebumps series (Jack Black + monsters = zzzz).', 'The scenes that blend the lives of the adults with the lives of the kids they once were are excellent.', ""There's a grandness to its scale and production values that still makes It Chapter Two an enjoyable romp, but it's not the ghoulish scarefest it could be."", ""Trimming the adults' often soppy individual narratives to focus on their more interesting dynamic as a group might have mitigated some of the numbness that sets in from predictability."", 'While Chapter Two works perfectly fine as a complement to Chapter One, it still falls short in that the closer our heroes come to triumphing over ""It,"" the further they get from a satisfying conclusion.', ""Who could care for nearly three hours? Muschietti's faithful adaptation, with all its creative and creepy set pieces, can't justify that numbing run time..."", ""Yes, there are big-bang scares, but they're not real scares. In the end, what I come away with is a sense of being at a carnival fun-fair. Attractions, bits...but too much, and you're tired and sick.""]"
Jaws,1975,"['Mystery, Thriller & Horror', 'Adventure', 'Mystery, Thriller & Horror']","When a young woman is killed by a shark while skinny-dipping near the New England tourist town of Amity Island, police chief Martin Brody (Roy Scheider) wants to close the beaches, but mayor Larry Vaughn (Murray Hamilton) overrules him, fearing that the loss of tourist revenue will cripple the town. Ichthyologist Matt Hooper (Richard Dreyfuss) and grizzled ship captain Quint (Robert Shaw) offer to help Brody capture the killer beast, and the trio engage in an epic battle of man vs. nature.","Compelling, well-crafted storytelling and a judicious sense of terror ensure Steven Spielberg's Jaws has remained a benchmark in the art of delivering modern blockbuster thrills.","['...more interesting is where the political and personal intersect... which fits nicely with what the movie as a whole does so well, mixing the horror and adventure with the personal.', 'A near Hitchcockian exercise in transference of guilt and making the audience pay for its illicit pleasures.', 'Director Steven Spielberg has immeasurably improved the bestselling Peter Benchley potboiler novel.', ""I don't think there's a more exciting talent at work right now than Spielberg, an authentic moviemaking prodigy, and perhaps his worst problem from June 20, 1975, on will be preventing success from making a nervous or artistic wreck of him."", 'It is a coarse-grained and exploitive work which depends on excess for its impact. Ashore it is a bore, awkwardly staged and lumpily written.', ""It may be the most cheerfully perverse scare movie ever made. Even while you're convulsed with laughter you're still apprehensive, because the editing rhythms are very tricky, and the shock images loom up huge, right on top of you."", ""It's no wonder a generation of holidaymakers still thinks twice before stepping into the water."", 'Jaws is a grisly film, often ugly as sin, which achieves precisely what it set out to accomplish-scare the hell out of you.', ""Jaws is a splendidly shrewd cinematic equation which not only gives you one or two very nasty turns when you least expect them but, possibly more important, knows when to make you think another's coming without actually providing it."", 'Mr. Spielberg has so effectively spaced out the shocks that by the time we reach the spectacular final confrontation between the three men and the great white shark, we totally accept the makebelieve on its own foolishly entertaining terms.', 'Perhaps the most perfectly constructed horror story in our time.', 'Spielberg had paced the film beautifully so that one is always on edge, tensed for those scary moments that turn out to be false alarms, and left somehow totally unprepared for the real shocks.', 'Spielberg may be the man who created the new Hollywood, but in his first megahit he summed up what was best in the old -- the humor, the perversity, and the storytelling integrity of Alfred Hitchcock.', 'Spielberg works self-effacingly, with subtly correct camera placement and meticulous editing. He twists our guts with false alarms, giving us the real thing with heart-stopping suddenness.', ""Steven Spielberg's mechanical thriller is guaranteed to make you scream on schedule."", ""The beauty of Steven Spielberg's 1975 classic is that you can choose how to watch it: as a summery, shark-bitten thriller or as an allegory about the failed leadership of institutions..."", 'The fast-moving 124-minute film engenders enormous suspense as the shark attacks a succession of people.', 'The result is a fast-paced, straight-line thriller that moves without pause toward the climactic contest at sea between three men and a 25-foot, 3-ton great while killer shark.', 'This is a suspense classic that leaves teeth-marks.', 'What this movie is about, and where it succeeds best, is the primordial level of fear.']"
The Mummy Returns,2001,"['Action', 'Fantasy', 'Adventure']","Ten years after the events of the first film, Rick (Brendan Fraser) and Evelyn (Rachel Weisz) O'Connell are settled in 1935 London, where they are raising their son. When a chain of events finds the corpse of Imhotep (Arnold Vosloo) resurrected, the O'Connells go on a desperate race to save the world from unspeakable evil and to rescue their son before it is too late.","In The Mummy Returns, the special effects are impressive, but the characters seem secondary to the computer generated imagery.","['A bully follow-up to the 1999 international smash', ""A piss-poor mummy movie indeed that doesn't deliver a damn thing worth preserving."", 'As escapist, noisy popcorn entertainment, it certainly delivers', 'Big and dumb and loads of fun.', 'Fitfully entertaining.', ""I came to scream with pleasure, but all I could manage was a pitiful, 'Whoa!'"", ""It's da 'balm!'"", ""It's loud and chaotic, jammed with effects that don't wow us precisely because they are trying so hard to wow us."", 'May be the least original motion picture ever.', 'Overcomes the curse of sequelitis while raising the bar for a marvel-jammed summer at the movies.', 'Perfectly enjoyable swashbuckling, eye-catching entertainment.', 'Saturday cinema lives!', ""So gleefully abandons any semblance of sanity that it's virtually impossible not to enjoy the sheer breadth of nonsensical fun taking place on screen."", 'The Mummy Returns is that rare sequel that tops its predecessor.', 'The sequel does little more than repeat the need-a-bigger-boat jokes, triple the digital effects, and forget entirely about the old Universal B-movies.', ""There's more than a little unintentional humor in the picture."", 'This is not to say the new movie is all bad. It has many of the same elements that made the first film charming -- except charm.', 'Very violent, mostly in comic-book terms.', 'What makes this one so superior is that the strengths are much stronger this time, the weakness less obtrusive and the presiding spirit somewhat lighter.', 'Yes, many of the visual effects are stunning, but others are downright cheesy.']"
Signs,2002,"['Mystery, Thriller & Horror', 'Sci-Fi']","Everything that farmer Graham Hess (Mel Gibson) assumed about the world is changed when he discovers a message - an intricate pattern of circles and lines - carved into his crops. As he investigates the unfolding mystery, what he finds will forever alter the lives of his brother (Joaquin Phoenix) and children (Rory Culkin), (Abigail Breslin). A unique story that explores the mysterious real-life phenomena of crop signs and the effects they have on one man and his family.","With Signs, Shyamalan proves once again an expert at building suspense and giving audiences the chills.","['A refreshing summer movie.', 'A terrific suspense movie, overlaid with a faintly embarrassing tale of faith lost and perhaps regained.', 'Excellent, but has some extreme tension and peril.', 'Gibson is on top form, and there are some genuinely terrifying moments that will have you cowering behind your popcorn.', ""Individual sequences generate an eerie tension that's always deflated, creating a jarring stop-and-go rhythm, and the atmospheric trickery never strays beyond a lot of smoke and mirrors."", ""It's the content that's to blame. Signs works on a confused storyboard. What's Shyamalan trying to say anyways? Nothing, or rather a bit too much."", ""One of the most effective movies so far at capturing a jittery nation's case of the yips."", 'Shyamalan fuses the fictional evidence of his extraterrestrials with the presumed righteousness of God in a way that will make no sense to anyone who has ever questioned either.', ""Shyamalan is technically a superb film-maker, for all that he's picked up most of his tricks from Spielberg and Hitchcock."", 'Shyamalan manufactures real, honest-to-goodness, nail-gnawing suspense like cows make methane.', ""Shyamalan wants to be the metaphysical poet of movies, but he's dangerously close to becoming its O. Henry."", 'Signs is a tense experience; even the opening credits lunge at your throat with orchestral shrieks. It may one day reveal itself as a minor classic, a new Invasion of the Body Snatchers for the manufactured scare of its day.', ""Signs was the film that sparked the desire that led to the purchase of a camera, many short films, and a love of movies that hasn't left me to this day."", 'Sitting through the last reel (spoiler alert!) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his Halloween trip to the Haunted House.', 'The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.', 'The same old same old: dull and recycled, with no surprises.', ""This is the creepiest Hollywood thriller in a very long while and almost definitely this year's horror flick par excellence."", ""This talented and, at 32, very young director must now find new ideas -- maybe working with someone else's scripts. Because his film-making identity is in danger of fading."", 'Ultimately comes up short.']"
Prometheus,2012,"['Mystery, Thriller & Horror', 'Mystery, Thriller & Horror', 'Sci-Fi']","The discovery of a clue to mankind's origins on Earth leads a team of explorers to the darkest parts of the universe. Two brilliant young scientists lead the expedition. Shaw (Noomi Rapace) hopes that they will meet a race of benevolent, godlike beings who will in some way verify her religious beliefs, while Holloway (Logan Marshall-Green) is out to debunk any spiritual notions. However, neither the scientists nor their shipmates are prepared for the unimaginable terrors that await them.","Ridley Scott's ambitious quasi-prequel to Alien may not answer all of its big questions, but it's redeemed by its haunting visual grandeur and compelling performances -- particularly Michael Fassbender as a fastidious android.","['A movie that forces you to be intellectually invested, but not to the point of exhaustion and, in turn, delivers a remarkably enthralling experience.', 'Brilliant. Epic. Haunting. Grotesque. Great.', ""Even if the movie's logic ultimately spirals down into a vortex of hysteria, horror and hokum, I enjoyed the bulldozer intensity of the climax, which barely keeps a lid on the crackpot cult movie that's wrestling for the soul of this... blockbuster."", ""First, the good news: 'Prometheus' is a captivating experience, meant to be savored on the big screen. Ridley Scott's reputation as a master craftsman is well deserved and he offers up a big, impressive, eye-opening production."", ""I don't mind that Prometheus raises big questions without ultimately answering them...I do mind that [it] has virtually nothing interesting, insightful or thoughtful to say about them."", ""I'll say this much for it -- it's not boring."", ""Many walked into this movie expecting a science fiction thriller in the vein of Ridley Scott's original Alien. This, I feel, was a colossal mistake."", ""Much like Rutger Hauer's turn as a replicant in Scott's Blade Runner, Fassbender's performance may launch Prometheus into the cult stratosphere."", 'Prometheus is scary only in the sum of instincts and talent for movie-making that have been lost.', ""Prometheus recaptures the essence of not only a beloved franchise, but also an admired yet complicated genre many filmmakers attempt but few successfully. In short, it shows the amateurs how it's really done."", ""Prometheus tells a much bigger story and does it well, but it's missing what matters most. It's inorganic."", 'Prometheus--like, in its telling, the human race itself--is a creation spliced from the DNA of superior forebears.', 'Rather than trying to reinvent the franchise with new tricks, ""Prometheus"" wants to return us to that uncertain terror that loomed over the 1979 original.', 'Ridley Scott means to bring wonder and horror back to summertime spectacle, and Prometheus mostly succeeds in that regard. (Mostly.)', ""The movie may be a scare show that leaves many questions unanswered, but Scott's craft earns an exhausted kind of respect."", 'The setup is familiar-the mysterious planet, the slick tunnels, the shocking bodily violation, the broken quarantine, etc. So why is there a gaping hole where the dread should be?', 'The story is a lurching carnival of budget blasts.', ""There's definite mastery here, but it's hardly a masterpiece."", ""While I was completely engrossed in 'Prometheus', I felt a tug-of-war going on between the cerebral and visceral elements, right up to the finale."", 'With poise and great artistry, Scott crafts a world that combines high-tech science, primal beginnings, human frailty and sheer horror.']"
The Mummy: Tomb of the Dragon Emperor,2008,"['Action', 'Fantasy', 'Adventure']","Cursed by a devious sorceress, China's ruthless Dragon Emperor (Jet Li) and his vast army lie buried in clay for millennia. When young archaeologist Alex O'Connell is tricked into reviving the emperor, he and his famous parents (Brendan Fraser, Maria Bello) must find a way to send the ghoul back to the grave before he can awaken his vast army and take over the world.","With middling CG effects and a distinct lack of fun, The Mummy: Tomb of the Dragon Emperor finds the series past its prime.","['As we move from city to desert to mountains, the action gets more frenetic and increasingly silly, which is no bad thing in a Mummy movie.', 'Competent, but so utterly bereft of any memorable moments that it becomes a bit of a bore.', 'For a movie about the undead, this lacks any supernatural chills, and by the time its obligatory final showdown arrives, it seems as hollow as the terra cotta soldiers brought to life by CGI.', 'I can think of almost nothing good to say about the film, except that I enjoyed it immensely.', ""I was never a fan of the first two, but those are masterpieces compared to this clunk 'o junk."", ""It's no masterpiece, but for good-natured escapism, the latest Mummy adventure gives Indiana a run for his money."", ""It's usually advisable to arrive for a film before it starts, but if you happen to be running late for this enjoyably brainless blockbuster, do not worry."", ""Making the farcical tenor of the recent Indiana Jones film feel like a paragon of dramatic and archaeological integrity, this phoned-in action threequel doesn't even have the good grace to deliver on its title and feature any mummies"", ""Overlong and overcrowded, this tired threequel soon has you yawning. John Hannah's cry: 'Die, you mummy b******s, die!' is the only line to raise a cheer."", 'Remarkably, the plot has much in common with Hellboy II: The Golden Army, yet that bundle of fun has enough vision to make even its Barry Manilow interlude seem appropriate.', ""Screenwriters Alfred Gough and Miles Millar stuff Dragon Emperor with the same kind of disjointed details that almost ruined the jubilantly preposterous atmosphere of the conspiracy theory hokum in David Koepp's Crystal Skull screenplay."", 'The Mummy franchise now really is dead, dead, dead. It is so dead, it could win gold at the Dead Olympics, establishing a new British and Commonwealth record in the 400m decomposition event.', 'The best news about this clangorous clunker is that it may well have vanquished the Mummy franchise.', 'The story is no more than a thread stitching set pieces of increasing implausibility and ineptitude.', ""The whole thing, despite its decent start and $100 million, looks a bit of a mess to me. An entertaining one, no doubt, for those who love the franchise, but a bore for those who don't much care but would have preferred a more well organised film"", ""This Mummy movie is really two movies: a good adventure epic, with all the Chinese people, and a wan one, with O'Connells and the other the Westerners."", ""This reawakens but doesn't reinvigorate a franchise that was already curling at the edges seven years ago, with The Mummy Returns.""]"
